Actual_Sales,Predicted_Sales
1177.0,997.9940614035087
2342.0,2240.135698067082
2194.0,2066.68264221015
2159.0,2097.9193492329478
1883.0,1956.2814529377822
2269.0,2311.8089870460203
2340.0,2307.988727944654
1121.0,993.104
1957.0,2238.3288689733545
2009.0,2111.6476571494986
2379.0,2166.1413437944652
1805.0,1894.3117568711036
2028.0,2194.1553832824056
2799.0,2398.7782535762485
1277.0,1109.605
2762.0,2226.6231489611873
2624.0,2114.5890396473947
2573.0,2277.184211709506
2342.0,2123.8995107020432
2081.0,2115.8440086001465
2279.0,2222.6839912465693
1221.0,1125.9575
2206.0,2209.1650186578113
1812.0,2249.012189132189
2584.0,2214.613206192485
1664.0,2158.449078366927
2647.0,2043.4271998942343
2212.0,2278.0665220152
1454.0,1125.9575
2490.0,2212.453256023114
1895.0,2108.2118666004653
2563.0,2319.837565407694
2176.0,2103.303790800195
2469.0,2210.2543994264092
2570.0,2284.522336314516
1106.0,1224.797888888889
1783.0,2203.502366815999
2090.0,1973.6104942111724
2032.0,2363.144184927922
2143.0,2030.5371935395472
2576.0,2249.4109920243345
2574.0,2313.0251810798027
1059.0,1187.475
1777.0,2054.0596459830313
3009.0,2205.3270229803247
873.0,2339.020234848485
739.0,2251.9782058948617
1637.0,2091.57044191562
1839.0,2177.187931783908
1054.0,903.1691666666666
2538.0,2118.9628789601243
2542.0,2299.002257800806
3557.0,2077.79
2251.0,2090.67
2351.0,2179.6887355817244
2626.0,2211.35152178082
1221.0,1106.7321527777776
2354.0,2219.361090312475
2231.0,2298.091706478492
2818.0,2018.2577735275488
2293.0,2128.289360837616
2229.0,1950.823530316469
2723.0,2216.4002824117506
1293.0,1165.385
2489.0,2155.450453349251
2074.0,2192.320623664932
2385.0,2248.8464212702193
2126.0,2230.0383980876313
2665.0,2163.06966584192
2669.0,2184.1416082251085
1044.0,1200.56
2655.0,2136.970312622612
2239.0,1864.98597843372
3301.0,2256.2870088610034
2647.0,2384.288472222222
3314.0,2427.528974358974
2594.0,2492.265
1316.0,1161.105
2496.0,2253.0616211455213
1037.0,2191.858852266923
3078.0,2126.0930501102107
2378.0,2154.637150095677
2741.0,2207.6724336219336
2677.0,2299.746130591631
1181.0,1142.4425
2701.0,2185.821966006216
3153.0,2107.97
2422.0,2309.223829143079
2320.0,2301.1244160729434
2312.0,2254.658005050505
2717.0,2316.561627561328
1651.0,1134.02
3278.0,2141.5750411810413
2768.0,2274.5422971811386
3146.0,2171.5691094461095
2574.0,2281.574282162992
2996.0,2248.9105585067105
2576.0,2292.2616082251084
696.0,2186.16971212398
2379.0,1679.0398717948722
2284.0,2295.7277154512158
2054.0,2198.2547822156657
2581.0,2271.0256272922634
2318.0,2232.8619415584417
0.0,1060.98
1434.0,2161.56
3081.0,2199.006375780404
3039.0,2284.882225872167
2617.0,2235.895119047619
2761.0,2328.994535742036
2503.0,2195.244761183261
1356.0,1125.07
4100.0,2040.0530204158586
2370.0,3618.042380952381
2607.0,2287.869667376224
2430.0,2099.7517492327725
2784.0,2255.850738074791
2978.0,2210.712748760901
1342.0,1186.16
2609.0,2186.748600052781
2762.0,2089.443872349872
2746.0,2158.926707237207
2399.0,2084.7533406038406
1924.0,2215.3297380747904
2963.0,2150.0133080048604
1083.0,1088.36
3075.0,2169.3186906835854
2499.0,2135.686534891437
2498.0,2251.0944665685192
1829.0,2183.8292115116747
2301.0,2189.7902697628456
2662.0,2342.937682319435
1059.0,1085.5716666666665
1986.0,2229.5682137443027
1965.0,2267.994986014707
2399.0,2368.934414918415
2257.0,2226.115825757576
2236.0,2463.880878787879
2737.0,2354.5388333333335
1063.0,1048.327
2238.0,2292.13621689585
2169.0,2067.322046569044
2523.0,2226.289449271489
2112.0,2082.4350269073657
2466.0,2038.4656310337077
2596.0,2310.703985443407
1147.0,1076.8072020202019
2449.0,2134.230422645531
2105.0,2115.0808862653143
2141.0,2184.98480752458
1866.0,2130.7217851140863
2286.0,2038.0541035571289
2906.0,2342.904829974883
1019.0,1128.3691666666666
2248.0,2117.7101515210034
2419.0,2061.89400215917
2075.0,2227.741975361903
1923.0,2058.350447233433
2508.0,2144.931966542337
2198.0,2308.8867168552697
690.0,1098.557
669.0,1678.5136437246963
1059.0,1510.9395238095237
3343.0,2104.2241656427677
2519.0,2240.4562973725465
2536.0,2375.0602319894124
2577.0,2311.9927793698284
1039.0,1027.9651325757577
1898.0,2160.6
2625.0,2175.83
2266.0,2175.913020703349
